  30: This is info message
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 142, 8)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 144, 50)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 144, 72)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 146, 9)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 148, 8)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structname', 151, 59)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structname', 151, 80)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structname', 153, 38)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structname', 153, 59)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structfield', 154, 49)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structfield', 154, 74)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 156, 9)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 158, 8)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'structname', 160, 48)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'structname', 160, 75)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 164, 9)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'sect2', 165, 9)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'sect2', 167, 8)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'title', 168, 9)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'title', 168, 30)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'screen', 170, 8)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'screen', 194, 9)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'sect2', 195, 9)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'sect2', 197, 8)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'title', 198, 9)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'title', 198, 24)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 200, 8)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'email', 201, 24)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'email', 201, 54)
  88: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'endElement', 'para', 202, 9)
  74: ('/home/yh/pg_trans/postgresql-13.1/doc/src/sgml/pgbuffercache.sgml', 'startElement', 'para', 204, 8)
