  30: This is info message
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'literal', 87, 330)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'literal', 87, 345)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'para', 88, 9)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'para', 90, 8)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'command', 91, 12)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'command', 91, 28)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'para', 92, 9)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'para', 94, 8)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'literal', 95, 13)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'literal', 95, 24)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'literal', 95, 36)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'literal', 95, 51)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'para', 96, 9)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'sect2', 98, 44)
  74: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'startElement', 'title', 99, 10)
  88: ('/home/jamal/pgdoc-cn/postgresql/doc/src/sgml/runtime_out.sgml', 'endElement', 'title', 99, 27)
